iter	MAE	RMSE
0	0.6700996281	0.8109213011
5	0.6150210149	0.7484737132
10	0.5658068722	0.6929764536
15	0.5217469303	0.6436458813
20	0.4823940454	0.5999650659
25	0.4472531852	0.561359799
30	0.4158981109	0.527219631
35	0.3880307081	0.4971721591
40	0.3632209698	0.4706169179
45	0.3412342663	0.4474244196
50	0.3217862919	0.4270538737
55	0.3046261608	0.4092101206
60	0.2895267527	0.3936773372
65	0.2762556388	0.3801040438
70	0.2644997965	0.3682474516
75	0.2541979964	0.3579202628
80	0.2451361016	0.3489045534
85	0.2371841442	0.3410826902
90	0.2302177268	0.3341485677
95	0.2241287766	0.3281093642
100	0.2187645234	0.3228061555
105	0.2140976669	0.3181342925
110	0.2099779949	0.3140306454
115	0.2063670672	0.3103575666
120	0.2031926382	0.3071053486
125	0.2003260331	0.3040675522
130	0.1978175612	0.3014469678
135	0.1956289059	0.2990913718
140	0.1936525449	0.2969251775
145	0.1919041293	0.2949946488
150	0.1903084978	0.2931803641
155	0.1888739438	0.2914747504
160	0.1875841833	0.2899350293
165	0.1864219974	0.2884632385
170	0.1853787491	0.2871484927
175	0.1843714379	0.2858376716
180	0.1835166771	0.2846837246
185	0.1827149074	0.2835997975
190	0.181885865	0.2825294313
195	0.1811695851	0.2815393955
200	0.1805124026	0.2806105811
205	0.1797808016	0.2796055985
210	0.1792207717	0.2787905365
215	0.1785872998	0.277913298
220	0.1780261833	0.2771336324
225	0.1775549715	0.2764159341
230	0.1771026978	0.2757345521
235	0.1766617705	0.2750799194
240	0.1761855938	0.2744027004
245	0.175791056	0.2738042234
250	0.1752608843	0.2730469885
255	0.1749551096	0.2725620049
260	0.1745378928	0.2719910695
265	0.1741829504	0.271458454
270	0.17377675	0.2709041805
275	0.1734456006	0.2704517541
280	0.1731578564	0.270013405
285	0.1727786947	0.2694979962
290	0.1723959296	0.2689387107
295	0.1720758791	0.2684844834
300	0.1716862787	0.2679639655
305	0.1713357649	0.2674666931
310	0.1710739867	0.2670743005
315	0.1707830654	0.2666518171
320	0.1704754065	0.2662295414
325	0.1702696176	0.2659038897
330	0.1700274376	0.2655358757
335	0.1696865098	0.2650705901
340	0.169373776	0.2646287323
345	0.1691146659	0.2642477007
350	0.1689315559	0.2639202158
355	0.168725093	0.2636161153
360	0.1685187126	0.2632942176
365	0.168296351	0.2629295209
370	0.1680895855	0.262615868
375	0.1678614614	0.2622743376
380	0.1675786958	0.2618813598
385	0.1673147995	0.2615249741
390	0.1671507515	0.2612268117
395	0.1669297515	0.2608642597
400	0.1666984778	0.2605175163
405	0.1664915335	0.2602129407
410	0.1663295897	0.2599347821
415	0.1660697507	0.2595714984
420	0.1659197446	0.2592791656
425	0.1657022379	0.2589076449
430	0.1654728347	0.2585597802
435	0.1653226636	0.2583395133
440	0.1651306416	0.258070607
445	0.1649340259	0.2577631934
450	0.1647626199	0.2575117778
455	0.1645929331	0.2572475396
460	0.1644624703	0.2570037404
465	0.1643171953	0.2567067691
470	0.1641468208	0.2564521592
475	0.164013071	0.2562161783
480	0.1638591866	0.2559652312
485	0.1637039543	0.2557186094
490	0.1635337036	0.2554733107
495	0.1633802867	0.255210128
500	0.1632128554	0.2549780948
505	0.1630691758	0.2547619652
510	0.1629318364	0.2545596185
515	0.1628108634	0.2543438092
520	0.1626534719	0.254094707
525	0.1625244257	0.2539016466
530	0.1624152116	0.2536956863
535	0.1622648067	0.2534495693
540	0.1620976367	0.2531900408
545	0.1619385397	0.2529222936
550	0.1617801717	0.2526627135
555	0.1616311284	0.2524380911
560	0.1615094402	0.2522246924
565	0.1613743976	0.2520133233
570	0.16125535	0.2518160046
575	0.1611308148	0.2516155932
580	0.1610276247	0.2514327317
585	0.1608612386	0.2511677244
590	0.1607466607	0.2509813034
595	0.1606164868	0.2507836389
600	0.1605155246	0.2505867652
605	0.1603966695	0.2503912197
610	0.1602657392	0.2501892823
615	0.1601565113	0.2499896574
620	0.1600383852	0.2498020958
625	0.1599178384	0.2496224649
630	0.1597715457	0.2494121025
635	0.1596686856	0.2492460823
640	0.1595412211	0.2490222441
645	0.1594403414	0.2488725015
650	0.1593427763	0.2487014206
655	0.1592369042	0.2485375265
660	0.1591203597	0.2483628509
665	0.1590368503	0.2482174756
670	0.1589362732	0.2480405647
675	0.1588005842	0.2478371697
680	0.1587012037	0.2476736061
685	0.1585777688	0.247501627
690	0.1584691323	0.2473225219
695	0.1583386146	0.2471397671
700	0.1582036958	0.2469241149
705	0.1581128972	0.2467735729
710	0.1580137367	0.2465979824
715	0.1579273529	0.2464363309
720	0.157826487	0.2462457556
725	0.1577040698	0.2460376209
730	0.1575933292	0.2458628193
735	0.1574926695	0.2456942189
740	0.1573789032	0.2454627715
745	0.157285574	0.24531778
750	0.1571816824	0.2451496182
755	0.1570813804	0.2449830813
760	0.156984723	0.2447982149
765	0.1568904173	0.2446188732
770	0.1568082008	0.2444798084
775	0.1567068535	0.24427594
780	0.1566159587	0.2441381164
785	0.1565237435	0.2439617424
790	0.1564165511	0.2438120507
795	0.1563313089	0.2436628879
800	0.1562051096	0.2434802247
805	0.1561139947	0.243342021
810	0.1560112584	0.2431717011
815	0.1558924721	0.2429456063
820	0.1557905884	0.2428076081
825	0.1556939998	0.2426581396
830	0.1556131585	0.242517667
835	0.1555090606	0.2423527831
840	0.1554197199	0.2422091807
845	0.1552997233	0.2420097502
850	0.1552130094	0.2418622338
855	0.1551308479	0.2417318101
860	0.1550502954	0.2415868138
865	0.1549681064	0.2414453334
870	0.1548903596	0.2413098827
875	0.154799561	0.2411582455
880	0.1547325555	0.2410434316
885	0.1546573393	0.2409274212
890	0.1545931806	0.2408011032
895	0.1544997277	0.2406617039
900	0.1544149255	0.2405243824
905	0.1543420749	0.2404126839
910	0.1542513726	0.2402712133
915	0.154115326	0.2400677954
920	0.1540200439	0.2399070107
925	0.1539588697	0.2398001506
930	0.1538302499	0.2396116154
935	0.1537355179	0.2394343914
940	0.1536546629	0.2392937865
945	0.1535812071	0.2391689992
950	0.1535072287	0.2390518707
955	0.1534260711	0.2389133577
960	0.1533431944	0.2387901571
965	0.1532724205	0.2386754069
970	0.153170413	0.2385090057
975	0.1530962421	0.2383864183
980	0.1529801927	0.2382184946
985	0.1529026934	0.238078493
990	0.1528144805	0.237941104
995	0.1527205737	0.2377989582
1000	0.1526379445	0.2376716285
1005	0.1525066703	0.2374720577
1010	0.1524309865	0.2373351289
1015	0.1523456892	0.2371938448
1020	0.152258714	0.2370687572
1025	0.1521707486	0.2368929473
1030	0.1521141405	0.2367900633
1035	0.1520589214	0.2367017915
1040	0.1519912695	0.2365799826
1045	0.1519061922	0.2364461508
1050	0.1518348132	0.2362972274
1055	0.1517481818	0.2361532695
1060	0.1516819877	0.2360463997
1065	0.1516084632	0.2359127607
1070	0.151532463	0.2357951083
1075	0.151436617	0.2355842499
1080	0.1513543867	0.2354606874
1085	0.1512799682	0.2353387839
1090	0.1511992507	0.2352147197
1095	0.1511136234	0.2351074964
1100	0.1510245302	0.2349699579
1105	0.1509351345	0.2348102511
1110	0.1508477054	0.2346748313
1115	0.1507801773	0.2345673465
1120	0.1507020866	0.2344451179
1125	0.1506275994	0.2343437928
1130	0.150567773	0.2342340351
1135	0.1504776758	0.2340910997
1140	0.1504058704	0.2339781889
1145	0.150345934	0.2338758677
1150	0.1502804826	0.2337642796
1155	0.1501967119	0.2336200119
1160	0.1501129274	0.2334606924
1165	0.1500531561	0.2333428057
1170	0.1499697567	0.2332314343
1175	0.149898584	0.2331103637
1180	0.1498177015	0.2330068719
1185	0.1497435443	0.2328818754
1190	0.1496663063	0.2327460723
1195	0.1495822331	0.2326199454
1200	0.1495146774	0.2325100837
1205	0.1494323646	0.2323717846
1210	0.1493704202	0.2322723232
1215	0.1493121204	0.2321726711
1220	0.1492463802	0.2320416095
1225	0.1491792921	0.2319430071
1230	0.1491163575	0.2318317938
1235	0.1490507273	0.2317147328
1240	0.1489981488	0.2316168226
1245	0.1489263434	0.2315009302
1250	0.1488452133	0.2313832338
1255	0.1487728303	0.2312791475
1260	0.1486944784	0.2311293642
1265	0.1486333454	0.2310376573
1270	0.1485347351	0.2308805767
1275	0.1484712228	0.2307787667
1280	0.1483980008	0.230648933
1285	0.1483272682	0.2305387807
1290	0.1482473621	0.2303794273
1295	0.1481446533	0.2301898903
1300	0.1480781154	0.2300560625
1305	0.1480190042	0.2299461945
1310	0.147921494	0.2298105043
1315	0.1478565377	0.2297150754
1320	0.1477903849	0.2295841084
1325	0.1476960517	0.2294539433
1330	0.147605487	0.2292965575
1335	0.1475552878	0.2292132677
1340	0.1474868244	0.2290942985
1345	0.1474225558	0.2289624208
1350	0.1473569531	0.2288725948
1355	0.1473054474	0.2287824555
1360	0.1472195037	0.2286609465
1365	0.1471318958	0.22851041
1370	0.1470603793	0.2283738215
1375	0.1469888352	0.2282482612
1380	0.1469152968	0.2281481174
1385	0.1468480988	0.2280478391
1390	0.1467712872	0.2279032492
1395	0.1467006233	0.2277797164
1400	0.1466468071	0.2276934028
1405	0.1465861967	0.2276008553
1410	0.1465112006	0.2274277801
1415	0.1464481422	0.2273315097
1420	0.1463788674	0.2272123269
1425	0.1463161804	0.2271086605
1430	0.146249945	0.2270063781
1435	0.1461841085	0.2268915783
1440	0.1461260287	0.2267692456
1445	0.1460456001	0.2266556682
1450	0.1459475811	0.226508019
1455	0.1458964605	0.2264263153
1460	0.1458233485	0.2262939692
1465	0.145732825	0.2261403366
1470	0.1456604282	0.2260323301
1475	0.1455748559	0.2259029343
1480	0.1454939734	0.2257833552
1485	0.1454255237	0.2256817062
1490	0.1453541034	0.2255677565
1495	0.1453045507	0.2254780573
