iter	Passed	Remaining
0	129	389770
1	259	388428
2	332	332662
3	424	318097
4	521	312321
5	618	308839
6	697	298080
7	789	295349
8	865	287798
9	962	287731
10	1054	286639
11	1153	287163
12	1246	286516
13	1346	287143
14	1438	286359
15	1532	285728
16	1618	283965
17	1710	283331
18	1803	282953
19	1896	282559
20	1993	282825
21	2088	282754
22	2186	282944
23	2278	282502
24	2364	281332
25	2457	281052
26	2552	281104
27	2640	280218
28	2736	280342
29	2827	279922
30	2900	277745
31	2961	274661
32	3021	271666
33	3075	268319
34	3129	265098
35	3181	261978
36	3238	259332
37	3290	256495
38	3341	253730
39	3391	250990
40	3445	248679
41	3505	246905
42	3559	244752
43	3612	242727
44	3665	240675
45	3714	238562
46	3777	237358
47	3829	235519
48	3878	233590
49	3930	231925
50	3984	230409
51	4034	228721
52	4090	227465
53	4153	226581
54	4196	224709
55	4243	223091
56	4291	221583
57	4342	220277
58	4391	218910
59	4444	217792
60	4491	216412
61	4535	214939
62	4578	213461
63	4619	211923
64	4665	210655
65	4706	209236
66	4747	207834
67	4790	206565
68	4831	205241
69	4885	204472
70	4928	203302
71	4970	202121
72	5016	201156
73	5076	200743
74	5134	200242
75	5186	199533
76	5234	198692
77	5279	197796
78	5332	197177
79	5379	196357
80	5428	195618
81	5474	194816
82	5521	194037
83	5589	194030
84	5637	193332
85	5677	192378
86	5718	191475
87	5758	190552
88	5800	189714
89	5856	189364
90	5904	188747
91	5953	188195
92	5993	187357
93	6047	186971
94	6100	186558
95	6163	186444
96	6209	185836
97	6272	185748
98	6324	185330
99	6400	185616
100	6470	185722
101	6520	185262
102	6578	185022
103	6631	184654
104	6681	184218
105	6728	183710
106	6770	183058
107	6810	182366
108	6860	181959
109	6915	181682
110	6966	181304
111	7022	181078
112	7070	180633
113	7113	180091
114	7164	179723
115	7212	179315
116	7262	178949
117	7303	178376
118	7353	178018
119	7393	177455
120	7439	177021
121	7483	176547
122	7530	176135
123	7569	175559
124	7612	175080
125	7662	174785
126	7710	174417
127	7758	174085
128	7807	173762
129	7853	173383
130	7908	173198
131	7948	172688
132	7986	172158
133	8024	171634
134	8067	171217
135	8125	171123
136	8174	170829
137	8211	170292
138	8248	169768
139	8291	169381
140	8355	169417
141	8424	169560
142	8475	169337
143	8521	169013
144	8561	168579
145	8599	168100
146	8636	167622
147	8676	167198
148	8712	166711
149	8751	166287
150	8798	166004
151	8837	165589
152	8874	165131
153	8911	164688
154	8945	164191
155	8979	163699
156	9011	163188
157	9047	162741
158	9093	162482
159	9142	162276
160	9199	162211
161	9251	162073
162	9299	161861
163	9340	161527
164	9378	161147
165	9411	160673
166	9443	160203
167	9477	159769
168	9515	159403
169	9551	159011
170	9585	158575
171	9627	158286
172	9680	158185
173	9733	158080
174	9778	157851
175	9819	157552
176	9855	157186
177	9888	156771
178	9920	156343
179	9957	155999
180	9989	155579
181	10022	155190
182	10056	154807
183	10089	154417
184	10126	154093
185	10163	153766
186	10197	153398
187	10230	153014
188	10268	152719
189	10313	152528
190	10360	152370
191	10410	152251
192	10447	151955
193	10483	151628
194	10516	151279
195	10546	150881
196	10578	150513
197	10609	150139
198	10656	149987
199	10699	149798
200	10739	149545
201	10776	149274
202	10813	148991
203	10859	148838
204	10897	148579
205	10939	148379
206	10987	148255
207	11024	147989
208	11062	147722
209	11096	147428
210	11134	147170
211	11171	146913
212	11208	146651
213	11249	146448
214	11286	146205
215	11331	146052
216	11369	145812
217	11405	145552
218	11439	145270
219	11477	145027
220	11517	144824
221	11553	144574
222	11589	144322
223	11627	144094
224	11660	143807
225	11690	143499
226	11722	143197
227	11755	142924
228	11788	142641
229	11822	142387
230	11855	142107
231	11888	141842
232	11925	141625
233	11955	141321
234	11987	141043
235	12018	140754
236	12050	140485
237	12081	140202
238	12114	139945
239	12152	139752
240	12185	139497
241	12218	139245
242	12248	138972
243	12281	138723
244	12314	138474
245	12346	138220
246	12380	137995
247	12413	137746
248	12445	137494
249	12475	137228
250	12505	136958
251	12541	136757
252	12571	136498
253	12602	136244
254	12642	136090
255	12684	135959
256	12723	135802
257	12788	135916
258	12855	136051
259	12909	136048
260	12954	135949
